username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,manual_locals_vs_diaspora
ajdemarang,Ajdemarang 🇮🇷 اژدمارنگ,دانشمند، پژوهشگر، روشنفکر، کارآفرین و تحلیلگر امور آسمان‌ها و زمین ساده‌ای بیش نیستم.,,1139.0,1353.0,False,September 2012,Canada,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,دانشمند، پژوهشگر، روشنفکر، کارآفرین و تحلیلگر امور آسمان‌ها و زمین ساده‌ای بیش نیستم.,Ajdemarang 🇮🇷 اژدمارنگ,0
ahlulbayt28,خادمة الحُسين💚⚑,-أشهَدُ أنَ علياً وَليُ الله . -نِذَرت لخِدمَة حسين عمري . -السَلامُ على آلِ بَيتِ رَسولِ الله . -السَلامُ عَليكَ يا أبا عبدِالله الحُسَين.,,276.0,1318.0,False,July 2020,حَيثُ الحُسَين وَ العَبَاس,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,-أشهَدُ أنَ علياً وَليُ الله . -نِذَرت لخِدمَة حسين عمري . -السَلامُ على آلِ بَيتِ رَسولِ الله . -السَلامُ عَليكَ يا أبا عبدِالله الحُسَين.,خادمة الحُسين💚⚑,2
_theleftover,LEFTOVER,بازمانده ۱۴ اکتبر | همه‌کاره/هیچ‌کاره,462.0,563.0,8309.0,False,June 2018,خارج,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,بازمانده ۱۴ اکتبر | همه‌کاره/هیچ‌کاره,LEFTOVER,0
ahlebeytmedia,اهل بیت مدیا,کاملترین و به‌روزترین رسانه تخصصی، در حوزه اهل بیت,,65.0,2096.0,False,July 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,کاملترین و به‌روزترین رسانه تخصصی، در حوزه اهل بیت,اهل بیت مدیا,1
abdelra07745930,عبدالرزاق الحيالي,منشق من منظمة بدر وصاحب قناة على اليوتيوب ( قناة الأسير العراقي )  youtube.com/channel/UCbIAj …,,2406.0,1793.0,False,September 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,منشق من منظمة بدر وصاحب قناة على اليوتيوب ( قناة الأسير العراقي )  youtube.com/channel/UCbIAj …,عبدالرزاق الحيالي,0
alijalizi8,علي,,0.0,11.0,0.0,False,May 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,علي,2
afsamaryam96589,M,پروانه ای با بال های آبی,1.0,12.0,2.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,پروانه ای با بال های آبی,M,1
abbasalawadi6,ABBAS Alawadi,عٌآشُقُ عٌلَيَ آبًنِ آبيَ طِآلَبً,109.0,641.0,138.0,False,March 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,عٌآشُقُ عٌلَيَ آبًنِ آبيَ طِآلَبً,ABBAS Alawadi,0
_mohammad_1987_,Mohammad Mohammadi,جاوید ایران زمین ؛ زنده باد آزادی,0.0,5.0,1.0,False,March 2024,"Tehran, iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,جاوید ایران زمین ؛ زنده باد آزادی,Mohammad Mohammadi,1
_husseinth3,حسين العنزي⚜️,,2.0,6.0,0.0,False,December 2025,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,حسين العنزي⚜️,0
aidanajra,delusional king,تا زمانیکه درآمدهای میلیون دلاری و بدون ریسک ، به بهانه فعالیت سیاسی ، برقرارهست ، کمپانی های سطل عن طلب مانع اتحاد مردم و سرنگونی جمهوری اسلامی خواهندشد,276.0,233.0,7154.0,False,March 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,تا زمانیکه درآمدهای میلیون دلاری و بدون ریسک ، به بهانه فعالیت سیاسی ، برقرارهست ، کمپانی های سطل عن طلب مانع اتحاد مردم و سرنگونی جمهوری اسلامی خواهندشد,delusional king,1
ali12793587,Ali,,0.0,1.0,0.0,False,January 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,0
abolfazl20_06,ابوالفضل,,0.0,31.0,11.0,False,June 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,ابوالفضل,2
abasaslani,Abas Aslani,Journalist; Senior research fellow at the Center for Middle East Strategic Studies (CMESS). DMs open | Persian account (صفحه فارسی):  @AbasInfo,,2482.0,6158.0,False,August 2010,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Journalist; Senior research fellow at the Center for Middle East Strategic Studies (CMESS). DMs open | Persian account (صفحه فارسی):  @AbasInfo,Abas Aslani,1
aliaalei,علی عالی🇮🇷,ناسزا شنيدن كسب و كار روزانه ماست/مسئوليتی به‌خاطر نظرات ديگران زير توئيت‌هايم ندارم/ توهین= بلاک,,182.0,4670.0,False,February 2017,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,ناسزا شنيدن كسب و كار روزانه ماست/مسئوليتی به‌خاطر نظرات ديگران زير توئيت‌هايم ندارم/ توهین= بلاک,علی عالی🇮🇷,0
