username,display_name,manual_target_population,predicted_class,uncertainty_score,confidence_level,description,description_en,display_name_en,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url
abdolhamidnetar,فضيلة الشيخ عبد الحميد إسماعيل زهي,,1,0.4617647269230965,0.5382352730769034,خطيب أهل السنة ورئيس جامعة دار العلوم بمدينة زاهدان، ورئيس منظمة اتحاد المدارس الدينية لأهل السنة بمحافظة سيستان وبلوشستان - إيران,"Sunni preacher and president of Dar al-Ulum University in Zahedan, and president of the Union of Sunni Religious Schools Organization in Sistan and Baluchestan Province - Iran",His Eminence Sheikh Abdul Hamid Ismail Zahi,3445.0,2.0,379.0,False,January 2021,Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
afintlradio,رادیو افغانستان اینترنشنال,,0,0.4610983909527777,0.5389016090472223,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com  00447771112080,The First 24/7 International News Channel for Afghanistan Email: info@afintl.com 00447771112080,Radio Afghanistan International,,12.0,1315.0,False,September 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ali_noorani_teh,Ali Noorani,,1,0.4610670904554679,0.5389329095445321,"Product designer and change maker. Formerly: UX Designer in Tokyo. Reporter, Editor at Japan's NHK, and AFP journalist in Tehran.","Product designer and change maker. Formerly: UX Designer in Tokyo. Reporter, Editor at Japan's NHK, and AFP journalist in Tehran.",Ali Noorani,3781.0,1259.0,1332.0,False,December 2010,"Toronto, ON",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aframalhameli,Afra Al Hameli,,0,0.4607653048960594,0.5392346951039406,Director of Strategic Communications  @MOFAUAE,Director of Strategic Communications  @MOFAUAE,Afra Al Hameli,,301.0,1939.0,False,October 2020,Abu Dhabi,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_pia_,Pia Strietmann,,0,0.4607653048960594,0.5392346951039406,Film&tv director,Film&tv director,Pia Strietmann,74.0,115.0,127.0,False,March 2009,"Berlin, London",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alirezaakhondi,Alireza Akhondi,,0,0.4604125026027618,0.5395874973972382,Member of the Swedish Parliament  | Foreign Policy & Security | Iran–EU Affairs | Democracy & Human Rights,Member of the Swedish Parliament  | Foreign Policy & Security | Iran–EU Affairs | Democracy & Human Rights,Alireza Akhondi,,115.0,3031.0,False,February 2011,"Stockholm, Sweden",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ahlulbayt_says,أهـلُ البـيت,,0,0.4603680879987363,0.5396319120012637,"أحيوا أمرنا رحم الله من أحيا أمرنا""التعليقات المنشورة لا تعبر عن رأي صفحتنا تابعونا على منصة X  @imam_ali_says  @ahlulbayt_says","Revive our matter, may God have mercy on those who revive our matter.” The published comments do not express the opinion of our page. Follow us on the X platform @imam_ali_says @ahlulbayt_says",Ahl al-Bayt,,13.0,1315.0,False,November 2010,Kuwait,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
agoldmund,Alex Goldman,,0,0.4594161930533191,0.5405838069466808,Journalist. host of  @hyperfixedpod . ex/  @westernkabuki . Ex/ @replyall . Chill dude with a cool 'tude. alex@hyperfixedpod.com,Journalist. host of  @hyperfixedpod . ex/  @westernkabuki . Ex/ @replyall . Chill dude with a cool 'tude. alex@hyperfixedpod.com,Alex Goldman,,3610.0,444.0,False,September 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alexphillips8,Alex Phillips,,0,0.4590729531550609,0.5409270468449391,"Formerly: FIFA advisor, World Football Remission Fund, UEFA/AFC/Deloitte, MESGO/FIMBA, trailing spouse  @lost_food , legacy fan, etc. Personal views, etc.","Formerly: FIFA advisor, World Football Remission Fund, UEFA/AFC/Deloitte, MESGO/FIMBA, trailing spouse  @lost_food , legacy fan, etc. Personal views, etc.",Alex Phillips,518.0,2215.0,515.0,False,May 2011,"London, Nyon, KL, Amsterdam",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
achaharmahaliy,Atefeh Chaharmahaliayan,,0,0.4588211688290287,0.5411788311709713,"آتفه چهارمحالیان  Poet, writer, and human rights activist For me, literature is a necessity of intervention","Atfe Chaharmahalian Poet, writer, and human rights activist For me, literature is a necessity of intervention",Atefeh Chaharmahaliayan,112.0,163.0,7.0,False,April 2025,"Hamburg, Germany",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ali_0909a,36🏆Ali,,1,0.4578598304915278,0.5421401695084722,الأهلي وطن يحكي فخرا، وهل بعد الأهلي عشق، وهل بعد الأهلي جنون,"Al-Ahly is a country that speaks of pride. Is there love after Al-Ahly, and is there madness after Al-Ahly?",36🏆Ali,755.0,1099.0,36.0,False,March 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aghplt,Ali Gholhaki,,1,0.4567097431968522,0.5432902568031478,journalist | ثبت است بر جریده عالم دوام ما,journalist | It is registered in our sustainable world journal,Ali Gholhaki,,3259.0,9934.0,False,January 2020,هرجا که باید,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ahadsadeghi71,Ahad.sadeghi71,,1,0.456364983086965,0.543635016913035,روزگارم بد نیست، اگر نابخردی ها و کج اندیشی ها و قضاوت ها بگذارند.,"My life is not bad, if they make stupid and biased thoughts and judgments.",Sunday. sadeghi71,238.0,735.0,336.0,False,March 2019,همه جای ایران سرای من است,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ahmadshuja,Shuja Jamal,,0,0.4551478475193186,0.5448521524806814,"Lawyer • Author • Father • Former Afghan civil servant (national security) • Advisory Committee  @KaldorCentre  • Trustee, Australian Refugee Foundation","Lawyer • Author • Father • Former Afghan civil servant (national security) • Advisory Committee  @KaldorCentre  • Trustee, Australian Refugee Foundation",Shuja Jamal,,3284.0,1322.0,False,May 2008,Melbourne | Naarm,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
a16z,a16z,,1,0.4550907127052339,0.5449092872947661,"we invest in software eating the world  a16z.com/portfolio a16z.com/podcasts  Watch ""The Ben & Marc Show"":  youtube.com/@a16z","we invest in software eating the world  a16z.com/portfolio a16z.com/podcasts  Watch ""The Ben & Marc Show"":  youtube.com/@a16z",a16z,,52.0,6145.0,False,August 2009,The Cloud,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
afintlbrk,افغانستان اینترنشنال,,0,0.4550644211263637,0.5449355788736363,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com WhatsApp: +447340006000,The First 24/7 International News Channel for Afghanistan Email: info@afintl.com WhatsApp: +447340006000,Afghanistan International,,10.0,1315.0,False,June 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alpaolucci,Aaliyah🌸,,0,0.4540228302562289,0.5459771697437711,Writer/Illustrator   Author of whimsical fantasy and emotional romantasy  Dubbed the Canva Angel  Rep: ???,Writer/Illustrator   Author of whimsical fantasy and emotional romantasy  Dubbed the Canva Angel  Rep: ???,Aaliyah🌸,1680.0,763.0,8839.0,False,June 2023,Lavender Forest,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
5y6aahcdftzn4me,پرنسس,,1,0.451566437184048,0.548433562815952,دلخوشی ها کم‌نیست، دیده ها، نابیناست..‌.,"Pleasures are not few, sight is blind...",princess,26.0,10.0,125.0,False,December 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ahmadsamadi1974,Ahmad Samadi,,1,0.4500759544730257,0.5499240455269743,"Senior Journalist  @IranInternational  TV  iranintl.com/en  @IranIntl_En  interested in EU, Germany, international&Iran affaires, Iaea, Iran nuclear","Senior Journalist  @IranInternational  TV  iranintl.com/en  @IranIntl_En  interested in EU, Germany, international&Iran affaires, Iaea, Iran nuclear",Ahmad Samadi,5188.0,973.0,1979.0,False,February 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aaronjmate,Aaron Maté,,1,0.4493883191796518,0.5506116808203482,Journalist w/  @TheGrayzoneNews  / Writing:  mate.substack.com / Co-host:  @UsefulIdiotpod . Email: aaronmate@protonmail.com,Journalist w/  @TheGrayzoneNews  / Writing:  mate.substack.com / Co-host:  @UsefulIdiotpod . Email: aaronmate@protonmail.com,Aaron Mate,,4004.0,6157.0,False,June 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alibahaadori,علی بهادری جهرمی,,1,0.4488781305755656,0.5511218694244344,سخنگو و دبیر هیئت دولت شهید رئیسی | حقوق‌دان و عضو هیئت علمی دانشگاه تربیت مدرس,Spokesman and Secretary of the government delegation of Shahid Raisi Lawyer and faculty member of Tarbiat Modares University,Ali Bahadri Jahormi,,138.0,2464.0,False,September 2018,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
adaacademy,Ada Dev Academy,,0,0.4473629577709093,0.5526370422290907,"A nonprofit, cost-free software developer academy for women and gender expansive folks, changing the face of tech.","A nonprofit, cost-free software developer academy for women and gender expansive folks, changing the face of tech.",Ada Dev Academy,6402.0,744.0,5503.0,False,July 2013,"Seattle, Washington",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
20rapcom,20RAP.com,,1,0.4467812736503436,0.5532187263496564,رسانه‌ی مستقل هیپ‌هاپ/رپ فارسی، تاسیس ۱۳۸۸,"Independent Persian hip-hop/rap media, established in 2008",20RAP.com,,13.0,5214.0,False,March 2011,Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aahonarmand,Aliasghar Honarmand | علی اصغر هنرمند,,1,0.4464475144320994,0.5535524855679006,"Editor-in-chief@  UpdateMD.com and  NooshDaroo.ir Co-founder@  Bozorgraah.com Founder  Narenji.ir, ex-prisoner and a Physician!","Editor-in-chief@  UpdateMD.com and  NooshDaroo.ir Co-founder@  Bozorgraah.com Founder  Narenji.ir, ex-prisoner and a Physician!",Aliasghar Honarmand | Ali Asghar the artist,,288.0,4047.0,False,January 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
adidas,adidas,,0,0.4437939420347834,0.5562060579652166,Through sport we have the power to change lives.,Through sport we have the power to change lives.,adidas,,255.0,1315.0,False,May 2011,"Herzogenaurach, Deutschland",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aghachurchill,AghaChurchill | The Anti-Left,,0,0.4425978727747994,0.5574021272252005,"Fighting Marxist-Islamist threats to humanity, safety, and the entirety of human  life!","Fighting Marxist-Islamist threats to humanity, safety, and the entirety of human  life!",AghaChurchill | The Anti-Left,5167.0,990.0,1303.0,False,July 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_angry_n___,i N !,,1,0.4405137788364447,0.5594862211635553,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,"Until further notice, only #free_life_woman",i N !,149.0,160.0,4797.0,False,October 2015,!,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
afarouk92,Ahmed Farouk,,0,0.4384996566790031,0.5615003433209969,PhD candidate in Persian literature | Iran analyst | Focused on domestic affairs & foreign policy.,PhD candidate in Persian literature | Iran analyst | Focused on domestic affairs & foreign policy.,Ahmed Farouk,1844.0,718.0,,False,August 2010,"CAIRO , EGYPT",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
afshin_46,Afshin,,0,0.437628590821002,0.562371409178998,نام من سید محمد حاجی سید جوادی است و مسئولیت حقوقی  نوشته هایم بر عهده من است.  #جمهوری‌خواه  #سوسیال‌دموکرات,My name is Seyed Mohammad Haji Seyed Javadi and I am responsible for the legal responsibility of my writings.  #Republican #Social Democrat,heat,1318.0,2948.0,,False,July 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abb_abdi,عباس عبدی,,0,0.4376153971472614,0.5623846028527386,"journalist, social researcher, civil activist","journalist, social researcher, civil activist",Abbas Abdi,,475.0,5780.0,False,August 2017,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alexkennedynba,Alex Kennedy,,0,0.4347535495965061,0.5652464504034939,"NFL/NBA Deputy Editor at  @PFSN365  | Past:  @ESPN ,  @USATODAYSports ,  @HoopsHype ,  @NBAalumni ,  @basketbllnews  | AlexKennedyNBA@gmail.com","NFL/NBA Deputy Editor at  @PFSN365  | Past:  @ESPN ,  @USATODAYSports ,  @HoopsHype ,  @NBAalumni ,  @basketbllnews  | AlexKennedyNBA@gmail.com",Alex Kennedy,,4450.0,1376.0,False,March 2009,Florida,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alimr70141,MrRezaeiAli,,1,0.4340150315912232,0.5659849684087768,Civil Engineering the Future of Refining.  O&G Infrastructure.,Civil Engineering the Future of Refining.  O&G Infrastructure.,MrRezaeiAli,1.0,34.0,0.0,False,November 2025,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
9tantiope,9T Antiope,,1,0.4333693801009927,0.5666306198990073,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,9T Antiope,550.0,202.0,927.0,False,December 2015,Tehran / Paris,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
