username,display_name,description,followers_count,following_count,statuses_count,location,profile_image_url,verified,account_status
GolinehAtai,Golineh Atai,Temporarily on Earth. Interested in mankind and the human condition. German TV correspondent. Author. Roamed the Post-Soviet world. Now back in the Middle East.,63900,1487,6965,Middle East & North Africa,https://pbs.twimg.com/profile_images/1437494364662636556/A0xJh42D_200x200.jpg,False,active
bso__azad,BSO AZAD,Official Account of Baloch Students Organization Azad Contact us at: admin@bsoazad.org,63500,3,5258,Balochistan,https://pbs.twimg.com/profile_images/1715648321719615488/3zAx5ZNz_200x200.jpg,False,active
jilabani,Jila Baniyaghoob ژیلا بنی‌یعقوب,"Journalist,women rights activist, and editor-in-chief of “Kanoon Zanan Irani"" Website مسئولیت کامنت ها با من نیست",63400,1148,11500,Iran,https://pbs.twimg.com/profile_images/1883325497813221376/Ovhnruax_200x200.jpg,False,active
masoudkazemi81,Masoud Kazemi,Iranian Journalist,61800,664,10900,Deutschland,https://pbs.twimg.com/profile_images/1937602360425189376/g_IFPZUu_200x200.jpg,False,active
JamshidBarzegar,Jamshid Barzegar,"Poet,writer, Independent journalist .EX Head of DW Persian Service. EX head of Radio&Online BBC Persian. EX Editor in Chief Radio Farda RFE/RL.Usual disclaimers",60500,1292,6530,"Toronto, Ontario",https://pbs.twimg.com/profile_images/1742619192342224896/M3EVUlDC_200x200.jpg,False,active
naderi_yeganeh,Hamid Naderi Yeganeh,"Mathematical Artist
PhD Maths — University College London
Email: naderiyeganeh at gmail dot com",59100,30100,735,,https://pbs.twimg.com/profile_images/1549819680990314496/sYoVI9eE_200x200.jpg,False,active
UN_CSW,United Nations CSW,The Commission on the Status of Women (CSW) is a functional commission of the UN Economic and Social Council. #CSW69,57400,434,7447,New York,https://pbs.twimg.com/profile_images/1897778206062657536/MMQv8r3F_200x200.jpg,False,active
CameliaFard,CameliaEntekhabifard,Independent Persian Editor in Chief. Author;  “Save Yourself By Telling The Truth”  کاملیا انتخابی فرد نویسنده و سردبیر ایندیپندنت فارسی,56100,1958,156900,New York I Dubai,https://pbs.twimg.com/profile_images/1891921534639325184/A3mfhzvE_200x200.jpg,False,active
2mohammadmosaed,Mohammad Mosaed,"@NationalPressClub
 | محمد مساعد | 2021 Awardee of CPJ PressFreedom, 2020 Awardee of DeutscheWelle Freedom of Speech",54800,2255,461,,https://pbs.twimg.com/profile_images/1254059103032352771/KjfGWDuy_200x200.jpg,False,active
MaryamZakaria,Maryam Zakaria,Swedish/Iranian Bollywood Actress! Dreams can become reality if you just believe in yourself. Work hard and fight for your goals -MZ #AgentVinod #GrandMasti,54600,120,14500,Mumbai,https://pbs.twimg.com/profile_images/946039306161754112/8J-Kq0Nt_200x200.jpg,False,active
shamaizadeh,Hassan Shamaizadeh,"THE 
linktr.ee/shamaizadeh OFFICIAL",52500,64,1964,"L.A , CA , USA",https://pbs.twimg.com/profile_images/1624532059791446017/VnPM254v_200x200.jpg,False,active
shakilamusic,SHAKILA,"Billboard #1 World class Award winning Pop Culture Artist, AAA | New Age | World Fusion",51900,0,9148,,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,False,active
ICHRI,Center for Human Rights in Iran,"The independent Center for Human Rights in Iran has been amplifying voices in Iran since 2008. Persian account: 
@ichri_FA
 media@iranhumanrights.org",51800,984,22100,New York,https://pbs.twimg.com/profile_images/877899362713694208/hMEyfhXJ_200x200.jpg,False,active
talaashe,Tala Ashe,actor/producer • FREE IRAN • she/her,50800,544,3778,"New York, NY",https://pbs.twimg.com/profile_images/1627884721219706882/6aj6DTeZ_200x200.jpg,False,active
ummahfilms,Baba Ali,"IG 
@realbabaali",48500,25,1096,Los Angeles,https://pbs.twimg.com/profile_images/248636495/ba_1_200x200.jpg,False,active
JanezLenarcic,Janez Lenarčič,"Former European Commissioner for Crisis Management, in charge of European Civil Protection and Humanitarian Aid. European Emergency Response Coordinator.",48200,130,5278,,https://pbs.twimg.com/profile_images/1171334760645496832/MQNWNdV7_200x200.jpg,False,active
SayedModarresi,Sayed Mahdi Modarresi,"Author, Lecturer, Educator. Books: 
amazon.co.uk/Sayed-Mahdi-Mo
… • Videos: 
YouTube.com/SayedModarresi",46600,168,12100,The Cave,https://pbs.twimg.com/profile_images/1382005888706224128/DHkXEOCr_200x200.jpg,False,active
moltaf,Moltafet,,46500,4,142,,https://pbs.twimg.com/profile_images/1235916005156818944/pRn5fEn0_200x200.jpg,False,active
AliAzimiMusic,Ali Azimi,youtube.com/@aliazimimusic | aliazimimusic.com,46200,813,5554,"London, UK",https://pbs.twimg.com/profile_images/1989752093637255168/So6Qff3a_200x200.jpg,False,active
saeid_mohammad_,سعید محمد,"عضو هیات علمی دانشگاه، 
Ph.D Civil Eng. Road & Transportation and Furnished with an A degree certificate by IPMA",45900,6,183,,https://pbs.twimg.com/profile_images/1873415175858003968/YTqzosqA_200x200.jpg,False,active
sirvan_khosravi,Sirvan Khosravi,Iranian Musician,45100,7,569,Iran,https://pbs.twimg.com/profile_images/1312339863950307328/rEJVTzIC_200x200.jpg,False,active
Nahavandian_ir,محمد نهاوندیان,,44800,25,705,,https://pbs.twimg.com/profile_images/1498525078136528896/sBt2tLY4_200x200.jpg,False,active
A_Jafarzadeh,Alireza Jafarzadeh,"Dep Dir 
@ncrius
; TEDx Speaker; Author, The Iran Threat (Palgrave Macmillan; NY); President, Strategic Policy Consulting; On IG & TRUTH Social 
@A_Jafarzadeh",44600,7475,11100,"Washington, DC USA",https://pbs.twimg.com/profile_images/2537133005/A_Jafarzadeh_200x200.jpg,False,active
iranrights_org,Abdorrahman Boroumand Center,"We work for truth telling, memory, and accountability in Iran. Home of the Omid Memorial. #SetThemFree Nonprofit, nongovernmental, RT ≠ endorsement.",43800,2011,28600,Instagram: @iranrights,https://pbs.twimg.com/profile_images/1886127004942000128/MmruPec4_200x200.jpg,False,active
SAGES_Updates,SAGES is in Tampa in 2026!,"Society American Gastrointestinal and Endoscopic Surgeons. Leading minimally invasive surgical society. Likes and RTs are amplification, not endorsement.",42700,2366,65600,Everywhere,https://pbs.twimg.com/profile_images/476868144640700416/h-5lTHX4_200x200.png,False,active
AnoushehAnsari,Anousheh Ansari,"Imagine. Be the change. Inspire. I'm Curious George as the science officer aboard starship Enterprise, going where no one has gone before.",41900,424,15700,Somewhere in the Universe,https://pbs.twimg.com/profile_images/1163828390/Tony_rescan_3__200x200.jpg,False,active
shahrak_ekbatan,شهرک اکباتان | Ekbatan,"صدای انقلابیون شهرک اکباتان

تلگرام:
T.me/ekbatan_twitter",40000,204,8705,شهرک اکباتان,https://pbs.twimg.com/profile_images/1708837007252733952/XlUBQIji_200x200.jpg,False,active
amir_jadidi,Amir Jadidi,instagram.com/amirjadidi iranian theater and film actor,38700,27,206,,https://pbs.twimg.com/profile_images/693364880867528704/0Cv1lAPl_200x200.jpg,False,active
AlBayanSports,البيان الرياضي,«البيان الرياضي».. منصة إخبارية ترصد يوميًا أبرز العناوين والأحداث المحلية والعربية والدولية في مختلف الرياضات.,38300,49,130000,"Dubai, United Arab Emirates",https://pbs.twimg.com/profile_images/1984311195969478656/PquAcvIu_200x200.jpg,False,active
OfficialMNamjoo,Mohsen Namjoo | محسن نامجو,Official X account of Iranian Singer/Songwriter Mohsen Namjoo حساب ایکس رسمی محسن نامجو,37200,23,419,New York,https://pbs.twimg.com/profile_images/1719886819041447937/0yevRA0L_200x200.jpg,False,active
tatalioo,Amir Tataloo,"The Official Twitter Account Of Amir Tataloo
Artist | Rapper | Singer | Musician",37100,0,1074,"İstanbul, Türkiye",https://pbs.twimg.com/profile_images/1569000203964792832/M9EI88T2_200x200.jpg,False,active
SabrinaGhayour,Sabrina Ghayour-Lynn,"Chef, TV Presenter, Author of 8 bestselling Middle Eastern cookbooks | writes 
@olivemagazine
 @Yorkshire_Life
 | Agent martine@saucemanagement.com",36400,747,195000,Yorkshire + London,https://pbs.twimg.com/profile_images/1996979961912041472/qjjY_bt6_200x200.jpg,False,active
manoushz,Manoush Zomorodi,"Host of 
@NPR
’s 
@TEDRadioHour
. Author of ""Bored + Brilliant."" Mom to 2; 
@joshrobin
’s co-pilot.",35800,3507,14500,New York,https://pbs.twimg.com/profile_images/1708836161123127296/-xLIded5_200x200.jpg,False,active
REZAphotography,REZA,"Artist,photographer, visual storyteller ,philanthropist",34100,3894,3540,Paris,https://pbs.twimg.com/profile_images/1664512045/Photo_by_Mark_Thiessen_National_Geographic_200x200.jpg,False,active
SEVDALIZA,SEVDALIZA,artist . founder .,31900,118,131,,https://pbs.twimg.com/profile_images/1980558040282648577/UnMbElys_200x200.jpg,False,active
NazaninAJ,Nazanin Afshin-Jam MacKay,"Human Rights Adv,Author,co-founder of Stop Child Executions + Iranian Justice Collective, B.A. Poli Sci + Int’l Rel, Master's in Diplomacy, Doctor of Laws LL.D.",30300,829,5930,,https://pbs.twimg.com/profile_images/1930438343776403456/ofGNR29F_200x200.jpg,False,active
pirouzhanachi,پیروز حناچی,"استاد  دانشکده معماری
 پردیس هنر های زیبا
 دانشگاه تهران",30200,22,350,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/1439678914759208977/MGbsPjiY_200x200.jpg,False,active
cagricehreganli,Mahmutali Çehreganlı,Güney Azerbaycan Milli Uyanış Hareketi (GAMOH) Lideri Dr. Mahmutali Çehreganlı Resmi Twit. Hesabı | Official Twitter Act. of Dr. M. Chehrgani,30100,788,1693,,https://pbs.twimg.com/profile_images/1599619011855192064/4O-Z7rKW_200x200.jpg,False,active
DanieleRaineri,Daniele Raineri,"Journalist 
@ilPost",29600,3294,18900,,https://pbs.twimg.com/profile_images/1350095524628725760/oDBjhF0h_200x200.jpg,False,active
FARNOOSH,Farnoosh Torabi,"Financial Expert, Host of #SoMoney. 
My book A Healthy State of Panic is on sale now!",28900,1306,23600,,https://pbs.twimg.com/profile_images/988870120175996928/9ai_oyWg_200x200.jpg,False,active
livingintehran,Living in Tehran (LiT),"We are about #Tehran 
By the people and for the people of Iran.
LiT is not a news agency!",27900,98,18200,Tehran/تهران,https://pbs.twimg.com/profile_images/1609217860273901569/rnviywMI_200x200.jpg,False,active
ebihamedi,Ebi Hamedi,"Official Page of Ebi Hamedi
instagram.com/ebi
t.me/ebiofficialcha
…",27700,61,1613,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1805308015903645696/RkMTNxu8_200x200.jpg,False,active
SAzmoun,Sardar Azmoun,Football Player at Iran National Team and Rubin kazan player 69,27200,20,112,,https://pbs.twimg.com/profile_images/528642012804055040/7oMUsZPp_200x200.jpeg,False,active
Zar_Amir,Zar Amir Ebrahimi,,27000,338,358,Paris,https://pbs.twimg.com/profile_images/920850557501427712/el6o-e2k_200x200.jpg,False,active
sepideqoliyan,sepideqoliyan,,26800,388,3063,خوزستان,https://pbs.twimg.com/profile_images/1945779320166703104/0RfxfxAp_200x200.jpg,False,active
SepidehMoafi,Sepideh Moafi,"@AppleTV
 @Hulu
 @FX
 @Showtime
 @HBO
 + others Ambassador 
@RESCUEorg",25200,937,3130,NY/LA,https://pbs.twimg.com/profile_images/1202037010124296192/0gqB890Z_200x200.jpg,False,active
leilaforouhar,Leila Forouhar,"Leila Forouhar is an Iranian pop and classical singer. 
instagram.com/leilaforouhar",24700,130,1503,"Orange, CA",https://pbs.twimg.com/profile_images/1691513615872905220/pBBMUvN0_200x200.jpg,False,active
PKhakpour,porochista khakpour she/her پوروچیستا خاکپور,i wrote 5 books since 2007 & a ton of articles since the late 90s but mostly just an iranian muslim dog lady who bakes a lot,23800,9839,156400,"New York, NY",https://pbs.twimg.com/profile_images/1960087706915975169/LeuuqrtQ_200x200.jpg,False,active
RoyaTheWriter,Roya Hakakian,"Proud refugee/Wandering Jew/Persian poet/Writer/Eric Blair fan/Latest Book: A Beginner's Guide to America/Senior Fellow 
@AmericanPurpose
 @SNFAgoraJHU/member@CFR",23000,397,7692,,https://pbs.twimg.com/profile_images/1897828003825975296/XuJdWYSX_200x200.jpg,False,active
ArminGhobadi,Armin Ghobadi Pasha,Multimedia Journalist | Filmmaker Former Producer and Host of The Chand Chand show on Iran international TV,22800,724,3251,London,https://pbs.twimg.com/profile_images/1330971076361334784/PqAlbYF6_200x200.jpg,False,active
NishaBiswal,Nisha Biswal,,22700,1062,2865,"Washington, DC",https://pbs.twimg.com/profile_images/926240599740530688/KY3mLl0__200x200.jpg,False,active
Jason_Jorjani,Jason Reza Jorjani,American Philosopher,21300,314,4402,The Great Satan,https://pbs.twimg.com/profile_images/1969447874917515265/EroU0_pi_200x200.jpg,False,active
IAmTehran,IG: @IAmTehran,"#NFT of comedy
1/2 BLACK + 1/2 PERSIAN = SAVAGE AF
@TheLaughFactory
 every THURS 10pm
SAPIOSEXUAL TOXIC AF
ChatGPT is my Mom",21200,714,84500,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1436029480624005144/kCEF3Viw_200x200.jpg,False,active
PardisSabeti,Pardis Sabeti,"Professor 
@harvard
 @HarvardChanSPH
 @broadinstitute
 using genomics to  impact infectious disease. Views are my own. 
@sabeti_lab
  @1000daysband",20800,373,1665,"Cambridge, USA",https://pbs.twimg.com/profile_images/703452383402020864/J8ywmGGs_200x200.jpg,False,active
alirezajb7,Alireza Jahanbakhsh,"Official Twitter page of Alireza Jahanbakhsh. Player of Feyenoord Rotterdam 
@feyenoord
  and the Iran national team",20700,17,110,"Rotterdam, The Netherlands",https://pbs.twimg.com/profile_images/1683407849538351104/ZEFK4pqd_200x200.jpg,False,active
fatemeekhtesari,Fatemeh Ekhtesari فاطمه اختصاری,"Poet, Author
 
t.me/fateme_ekhtesa
…",20600,850,27400,Norway,https://pbs.twimg.com/profile_images/1988340371525451777/Kc1HJKDZ_200x200.jpg,False,active
mahsamrabadi,Mahsa Amrabadi,Journalist,20600,1106,3300,"Oxford, England",https://pbs.twimg.com/profile_images/1385686838182961153/WeP1wRNE_200x200.jpg,False,active
standupdan,Dan Ahdoot,"Comic/Writer/Actor/HyphenFan. Anoush from Cobra Kai, Amir from The Crew, also Amir from Bajillion, Phil from Kickin It, host of ‘Green Eggs & Dan’",20300,567,6475,,https://pbs.twimg.com/profile_images/1070241654970376192/5jGpmHO0_200x200.jpg,False,active
khademh,Ali Khademhosseini,"Founder; Academic entrepreneur; Using AI to change the world, 
@MIT
 Ph.D.; x-Prof @Harvard/UCLA; x-CEO at TIBI; x-Scientist 
@Amazon",18900,1638,9378,"Los Angeles, CA",https://pbs.twimg.com/profile_images/944587768142774272/Vaq_VpHP_200x200.jpg,False,active
z_al,Zal,"""California's movie world""",18800,470,5652,,https://pbs.twimg.com/profile_images/1870877509501497344/YN-LVBqH_200x200.jpg,False,active
IranNW,Iran News Wire,We are dedicated to honest and reliable reporting on #IranProtests and #Iran's regime's #HumanRights violations.,18600,244,30200,Europe,https://pbs.twimg.com/profile_images/1072234780874420225/C8eimmEu_200x200.jpg,False,active
PahlavanAli,Ali Pahlavan,Singer/ Songwriter/ Music Producer/ The ARIAN BAND,18000,234,3528,Sydney,https://pbs.twimg.com/profile_images/881872189808558082/zCIOaNCr_200x200.jpg,False,active
k_Mostafavi,Khashayar Mostafavi,"Filmmaker:

Shaping the Murder Story- 95 Min -2025/

The truth and nothing but the truth- 122 Min-2021/

Dasein- 92 Min-2017/

Fight me 90 Min- 2015/",17800,391,7150,Germany,https://pbs.twimg.com/profile_images/1758158472909062144/BtEDEFGI_200x200.jpg,False,active
Manzarpour,Mohammad Manzarpour,"Journalist, 
buymeacoffee.com/manzarpour
gofund.me/6daa71c5",16700,3094,5851,Washington DC,https://pbs.twimg.com/profile_images/1606587679084351489/_RLZ0ssP_200x200.jpg,False,active
AbtahiOmid,Omid Abtahi,Actor. Giggity giggity.,16500,94,695,,https://pbs.twimg.com/profile_images/1104773029308043264/PHXAnGv9_200x200.jpg,False,active
mahlaghajaberi,Mahlagha,,16300,197,4653,"San Diego, CA",https://pbs.twimg.com/profile_images/895058100549328897/Yj2k3RfO_200x200.jpg,False,active
mousavi1388,MirHossein Mousavi,"MirHossein Mousavi is standing for election in the upcoming Iranian Presidential election 2009. With Khatami, Vote Mousavi.",16100,0,309,Iran,https://pbs.twimg.com/profile_images/104834792/1_200x200.jpg,False,active
KurdistanWatch,Kurdistan Watch,"Delivering incisive and contextualised coverage on politics, economics, oil & corruption in Kurdistan, Kirkuk & Mosul. Telegram: 
t.me/KurdistanWatch",16100,2,7104,,https://pbs.twimg.com/profile_images/1791603243019128832/Kw5J47yp_200x200.jpg,False,active
Hengaw_English,Hengaw Organization for Human Rights,"We are a non-profit organization focused on advocating for human rights in Iran, content in English and German.",15500,9,11800,Norway/Germany/United Kingdom,https://pbs.twimg.com/profile_images/1762774969375657984/NBZg0vYE_200x200.jpg,False,active
mehrdadraissi,Mehrdad Raissi,"Mehrdad Raissi Ardali, Voice actor, Voice Acting Director, CEO of Glory Entertainment مهرداد رئیسی، بنیان‌گذار گلوری انترتینمنت و انجمن گویندگان جوان تهران",15200,33,343,United States,https://pbs.twimg.com/profile_images/378800000763075768/153fad41083431944d3bbaff76ac7faf_200x200.jpeg,False,active
RamitaNavai,Ramita Navai,"Book: CITY OF LIES (Political Book Award) / Latest doc: GAZA: DOCTORS UNDER ATTACK 
@Channel4
 & 
@zeteo_news
 / Podcast: THE LINE OF FIRE (Apple top 10)",14800,1399,7257,Here and there.,https://pbs.twimg.com/profile_images/1962265874942844928/qWmbYQr7_200x200.jpg,False,active
SamiBeigi,Sami Beigi,"Samir Beigi Team | Official Links 
instagram.com/samibeigis --/--/-- 
soundcloud.com/samibeigi",14200,7,154,Tehran/Stockholm/Toronto/LA,https://pbs.twimg.com/profile_images/673760280652877824/l8gyReh5_200x200.jpg,False,active
azarnafisi,Azar Nafisi,"Author of the national bestseller Reading Lolita in Tehran, Things I’ve Been Silent about, The Republic of Imagination, That Other World, and Read Dangerously.",14200,1332,11400,DC/Republic of Imagination,https://pbs.twimg.com/profile_images/484089365736341504/wdqFAP2F_200x200.jpeg,False,active
UFLphilippines,UFLphilippines,The United Football League is the standard of club football in the Philippines,12100,0,46500,,https://pbs.twimg.com/profile_images/1601946989/Screen_shot_2011-10-23_at_10.37.52_AM_200x200.png,False,active
shahabedin76,شهاب‌الدين طباطبايى,"Member of International Federation of Journalists
عضو شورای اطلاع‌رسانی دولت",11700,942,1015,"Tehran, Iran",https://pbs.twimg.com/profile_images/1814416828451389440/FAX6ArB7_200x200.jpg,False,active
N_Khodakarami,Nahid Khodakarami,عضو هیئت علمی دانشگاه، فعال اجتماعی حوزه سلامت زنان و خانواده /women right and women health activist,11300,132,522,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/1949106019277082624/unV-wwSA_200x200.jpg,False,active
jorjandii,Mohammad Jorjandi,"Independent investigative journalist (cybercrime) | NWU member | 
Webamooz.com & 
ScamMinder.com founder | Fighting scams & exposing fraud",11200,135,1017,"Florida, USA",https://pbs.twimg.com/profile_images/1963324429015900160/GdroP0v7_200x200.jpg,False,active
Powerlifting,Para Powerlifting,We're the International Federation of Paralympic powerlifting,11100,514,8628,"Bonn, Germany",https://pbs.twimg.com/profile_images/1980542930583457792/y1YoEhOh_200x200.jpg,False,active
nazaninarmanian,nazanin,"Analista política y traductora de persa y dari. Libros: ""No es la religión estúpido"" ""Irán la revolución constante"" ""Islam sin velo"" ""Kurdistán, el país ...""",11000,274,30400,"Barcelona, Valencia, Madrid",https://pbs.twimg.com/profile_images/1945489062304817154/dFPcsZEv_200x200.jpg,False,active
IranianWoman,Sheema Kalbasi شیما کلباسی,"Poet, Pushcart prize in poetry and PEN Award for Poetry in Translation nominee, Served in the Danish Defense, Worked for UNHCR and Center for Refugees",10800,771,19000,United States,https://pbs.twimg.com/profile_images/1743078457649610752/p9Z1j4jp_200x200.jpg,False,active
babaktafreshi,Babak Tafreshi,"@natgeo
 photographer from Earth to the universe, science journalist, founder of The World at Night (TWAN), saving our night skies, bridging art & science.",10200,284,1282,"Boston, MA",https://pbs.twimg.com/profile_images/993186674761961472/2bpJvSco_200x200.jpg,False,active
parsapirouzfar,Parsa Pirouzfar,"facebook.com/parsapirouzfar
…
instagram.com/parsapirou",10100,36,145,Los Angeles,https://pbs.twimg.com/profile_images/575139454232330242/BpYVUvr0_200x200.jpeg,False,active
IBAHRI,IBA's Human Rights Institute,The International Bar Association’s Human Rights Institute works to promote and protect human rights & the independence of the legal profession worldwide,10100,545,6186,London,https://pbs.twimg.com/profile_images/850019752630255618/G3zXNxE9_200x200.jpg,False,active
taraaghdashloo,Tara Aghdashloo,writer / filmmaker | t.a studios | a life of semiotics and semantics,10000,666,9734,"London, UK",https://pbs.twimg.com/profile_images/1638962180111343616/VvZH-vu6_200x200.jpg,False,active
behzadbolour,behzadbolour,"I am now 47 but feel like 48 & look 36. my life = my work. wear hat cause I'm bold. eat less than before. poet says: sworn to fun, Loyal to none! ارواح خیکم!",9549,31,58,,https://pbs.twimg.com/profile_images/2462143385/ny7frnxjfhbwy3vrzux4_200x200.jpeg,False,active
behdadesfahbod,Behdad Esfahbod,"Software Engineer consultant specializing on fonts and text.
@HarfBuzz
. Ex Facebook/Google/RedHat/FarsiWeb.

#WomenLifeFreedom",8870,3190,7158,"Edmonton, Canada",https://pbs.twimg.com/profile_images/1467332785052524549/yBJalOk3_200x200.jpg,False,active
Rezasadeghireal,Reza Sadeghi,Singer & Songwriter,8744,68,364,"Tehrān, IR",https://pbs.twimg.com/profile_images/1162854440686313474/90jwOg2O_200x200.jpg,False,active
HRANA_English,HRANA English,Human Rights Activists News Agency is the press association of the nonprofit organization Human Rights Activists in Iran. Media inquiries: info@hra-news.org,8666,42,15700,Tehran,https://pbs.twimg.com/profile_images/1020297518297448451/OhDhjcED_200x200.jpg,False,active
LommelSKOff,Lommel SK,𝓔𝓼𝓽. 𝟏𝟗𝟑𝟐  || #OurNature  || CPL,7962,65,15800,"Lommel, België",https://pbs.twimg.com/profile_images/1980531277540315136/BgIb-N4Y_200x200.jpg,False,active
davood_eldeniz,dr. eldeniz,"General practitioner (GP) 
medical doctor who treats acute and chronic illnesses and provides preventive care and health education to patients.",7957,3910,118700,,https://pbs.twimg.com/profile_images/1644241463843213312/lLEBS7jw_200x200.jpg,False,active
Banisadr,Abolhassan Banisadr,"#Iran's first president   | #جمهوری_ایران #جمهوری #ایران #بنی_صدر |   
Facebook.com/Banisadr 
Instagram.com/abanisadr 
T.me/ABanisadr",7780,0,353,"Paris, France",https://pbs.twimg.com/profile_images/952697029754523654/0NLWcoAu_200x200.jpg,False,active
fft_official,Tajikistan Football,"Official Twitter Account of the Tajikistan Football Federation.

Официальный twitter-аккаунт Федерации футбола Таджикистана.",7763,33,15100,"Душанбе, Таджикистан",https://pbs.twimg.com/profile_images/1214159983945797632/g4f-3QS0_200x200.jpg,False,active
ShaunToub,Shaun Toub,"Actor. IronMan, Homeland, Crash, 
etc.Love my work, Sports, beach, music. Follow me on Instagram, twitter, FB page 
facebook.com/ShaunToubOffic
…",7447,28,2534,"Santa Monica, CA",https://pbs.twimg.com/profile_images/738842066789142528/CljmEv_x_200x200.jpg,False,active
AfshinMolavi,Afshin Molavi,"Senior Fellow, 
@FPI_SAIS
; Founder, Emerging World 
eworld.substack.com Contributing Writer, 
@Forbes
 Tweets/Opinions My Own #EmergingMarkets #Geopolitics",7328,1697,4771,Washington DC,https://pbs.twimg.com/profile_images/1405859945/molavi_afshin_200x200.jpg,False,active
sorayanelson,SorayaSarhaddiNelson,"Host of 
@cgberlinpodcast
 talk show ""Common Ground Berlin,"" former NPR international correspondent and budding author in Berlin.",7271,1197,5128,"Berlin, Germany",https://pbs.twimg.com/profile_images/1574673097726349319/kkqYA4fB_200x200.jpg,False,active
kngwmn,Kris Esfandiari,geniemob.com,6964,325,894,,https://pbs.twimg.com/profile_images/1947493539216064512/4feAdjNP_200x200.jpg,False,active
sonitaalizadeh,Sonita Alizada,Sonita Alizadeh's official Twitter. Afghan rapper and activist who is fighting to #endchildmarriage. #sonitasdream #raptivist,6746,358,923,Global,https://pbs.twimg.com/profile_images/1230256966649491458/L6RorSDs_200x200.jpg,False,active
TahaYasseri,Taha Yasseri,"Workday Full Prof & Chair of Technology & Society 
@tcddublin
 & 
@WeAreTUDublin
. Director of the Centre for Sociology of Humans & Machines 
@SOHAM_Centre
.",6730,459,3368,Dublin,https://pbs.twimg.com/profile_images/1947751707921854465/77FnpRBJ_200x200.jpg,False,active
sussantweets,Sussan Tahmasebi سوسن,"Director of 
@FemenaNet
 Iranian feminist, WHRD #Iran #MENA #SWANA  سوسن  طهماسبی فمنیست. فعال حقوق زنان و حقوق بشر ایران و خاورمیانه",6710,1658,11800,"Washington, DC",https://pbs.twimg.com/profile_images/911146591297441793/17nEZ1n4_200x200.jpg,False,active
WeArePFL,Philippines Football League,The official X account of The Philippines Football League #WeArePFL,6203,72,5447,Republic of the Philippines,https://pbs.twimg.com/profile_images/1741689727592599552/dD5fyt-3_200x200.jpg,False,active
Mehdi_Rajabian,Mehdi Rajabian,"Composer, Arranger, Producer and the founder of the company BARG MUSIC.",6192,30,223,"Iran, Tehran",https://pbs.twimg.com/profile_images/1984689780500701184/EyKPT2zl_200x200.jpg,False,active
eyoussefian,Elham Youssefian,اینجا بیشتر از تجربیات شخصی خودم می‌نویسم به عنوان یک زن ایرانی نابینا. تحصیلاتم در حقوق بین‌الملل و حقوق بشر است. به لغو مجازات اعدام، شکنجه و تبعیض معتقدم.,6126,585,3608,,https://pbs.twimg.com/profile_images/1847363001805852672/DBZztnct_200x200.jpg,False,active
DinaNayeri,Dina Nayeri,"Who Gets Believed (2023), The Ungrateful Refugee,  for NYT, Guardian, NYer, NYMag, Granta, etc. wandering iranian, scribbler, reader, mom, university lecturer",5382,990,5274,London,https://pbs.twimg.com/profile_images/1141308027162759168/w1RJW6G8_200x200.png,False,active
Tooji_,Tooji,"The more real you get, the more unreal the world gets. -John Lennon",5283,87,1715,Oslo,https://pbs.twimg.com/profile_images/2182326642/image_200x200.jpg,False,active
paymanmaadi,Payman Maadi,"Director, Actor, Screenwriter",5202,86,10,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/770222333160284161/fGq5iU99_200x200.jpg,False,active
yazdanicherati,Amirmohammad,امیرهستم یک کشتیگیر,5201,89,1456,,https://pbs.twimg.com/profile_images/1950530680758169600/yONOSQlw_200x200.jpg,False,active
HossainiSma,Seyed Mohammad Ali Hosseini,"Ex.Ambassador of I.R. #Iran to #Italy & #Pakistan
Ex-Deputy FM on  #International_Affairs
Ex- Spokesman of Ministry of #Foreign_Affairs",5015,20,2306,Iran,https://pbs.twimg.com/profile_images/903854997951193089/2VJFqGW-_200x200.jpg,False,active
dr_hsamsami,حسین صمصامی,"استاد اقتصاد دانشگاه شهید بهشتی؛
نمایندۀ مردم در مجلس شورای اسلامی؛
عضو کمیسیون اقتصادی مجلس؛ 

صفحه توسط ادمین، اداره می‌شود",4816,35,666,,https://pbs.twimg.com/profile_images/1976362526058164224/E5z10sE1_200x200.jpg,False,active
IndypersianLife,IndyPersian_LifeStyle,در این صفحه ایندیپندنت فارسی؛ خواندنی‌هایی از بخش زندگی، مُد و زیبایی، فرهنگ و هنر، تغذیه، ورزش و علوم به اشتراک گذاشته می شود.,4763,10,19400,,https://pbs.twimg.com/profile_images/1521784004940378112/M3i-vUNp_200x200.jpg,False,active
SaharZand,Sahar Zand,"Correspondent | News & Doc | 
@BBC
 @Channel4
 @Skynews
 @AJEnglish
 @CBSNews
 @abc
 @ITV
 @VICE
 @TedTalks
 | Agents 
@WME
 |London | British-Iranian | Views are my own",4675,623,1756,"London, England",https://pbs.twimg.com/profile_images/1890784998220828672/sw1u2WSh_200x200.jpg,False,active
