full name,description / bio,followers_count,following_count,statuses_count,created_at,profile_image_url,banner_url,username,external_url,location,verified,protected,language,scraped_at,poi_name,twitter_status,source,error
Helly Luv,"Artist/Actress/Humanitarian, 🏆Awarded as one of the 100 Global Thinkers by FP 2015 👍Facebook HellyLuv 3 Milhttp://m.facebook.com/HellyLuvBwYm",112124.0,438.0,6865.0,2009-02-15 14:07:35+00:00,https://pbs.twimg.com/profile_images/1600570264521162771/p2nYyZ-r_normal.jpg,,HellyLuv,http://www.hellyluv.com/,"Los Angeles, CA",False,,English,2025-11-08T12:55:53+00:00,Helly Luv,active,snscrape,
Kavus Torabi,Bookings- danaoxaal@gmail.com,4071.0,37.0,12192.0,2009-03-26 14:43:35+00:00,https://pbs.twimg.com/profile_images/1871497397714452480/FjUPuXhn_normal.jpg,,Knifeworld,https://kavustorabi.bandcamp.com,"Glastonbury, England",False,,Afrikaans,2025-11-08T12:55:53+00:00,Kavus Torabi,active,snscrape,
Leila Forouhar,Leila Forouhar is an Iranian pop and classical singer. instagram.com/leilaforouhar,25470.0,131.0,1499.0,2009-08-26 14:05:53+00:00,https://pbs.twimg.com/profile_images/1691513615872905220/pBBMUvN0_normal.jpg,,leilaforouhar,http://www.youtube.com/leilaforouhar,"Orange, CA",False,,English,2025-11-08T12:55:54+00:00,Leila Forouhar,active,snscrape,
مهدی رسولی,صفحه رسمی مَهدی رسولی,183658.0,138.0,597.0,2020-08-02 09:16:38+00:00,https://pbs.twimg.com/profile_images/1948457198599700480/k4Nzgzhf_normal.jpg,,MahdiRasuli_ir,http://instagram.com/mahdirasuli_ir,Islamic Republic of Iran,False,,Persian (Farsi),2025-11-08T12:55:54+00:00,Mahdi Rasouli,active,snscrape,
ايران اينترنشنال,"‏‏‏‏‎‎‎‎#ایران_اینترنشنال تنها شبکه خبری ۲۴ ساعته فارسی‌زبان که تازه‌ترین خبرها را در سریع‌ترین زمان پوشش می‌دهد.
📲 00447830007000
📧 bama@iranintl.com",2113629.0,61.0,321687.0,2016-05-05 15:59:59+00:00,https://pbs.twimg.com/profile_images/1380225668428992513/midYaSKA_normal.jpg,,IranIntl,https://iranintl.com,"London, UK",False,,Persian (Farsi),2025-11-08T12:55:54+00:00,Mandana Khazraei,active,snscrape,
Mehrdad Asemani,🎤تنها صفحه رسمی مهرداد آسمانی Iranian pop singer,226.0,2.0,2822.0,2012-11-13 19:25:41+00:00,https://pbs.twimg.com/profile_images/1596594907245727745/_u3-nk6u_normal.jpg,,Mehrdad_Asemani,https://www.youtube.com/mehrdadasemani1,"Irvine, CA",False,,Persian (Farsi),2025-11-08T12:55:55+00:00,Mehrdad Asemani,active,snscrape,
Nazanin Afshin-Jam MacKay,"Human Rights Adv,Author,co-founder of Stop Child Executions + Iranian Justice Collective, B.A. Poli Sci + Int’l Rel, Master's in Diplomacy, Doctor of Laws LL.D.",30191.0,821.0,5854.0,2010-04-22 17:17:47+00:00,https://pbs.twimg.com/profile_images/1930438343776403456/ofGNR29F_normal.jpg,,NazaninAJ,https://m.facebook.com/100031039130935/?dl_redirect=1,,False,,English,2025-11-08T12:55:55+00:00,Nazanin Afshin-Jam,active,snscrape,
Ramin Karimloo,🇮🇷 🇨🇦 🇬🇧 Agents - C.A.M. (UK/EUROPE) -GERSH (NORTH AMERICA) Insta: raminkarimloo latehttps://itun.es/us/b2VBdbFSxLjI,115636.0,44.0,396.0,2009-07-23 12:09:02+00:00,https://pbs.twimg.com/profile_images/1981330207542792194/qlcXrZCf_normal.jpg,,raminkarimloo,Http://www.8xcommunity.com,In Transit - ,False,,Estonian,2025-11-08T12:55:55+00:00,Ramin Karimloo,active,snscrape,
Sami Yusuf,British composer & musician. Pioneer of World Music Traditions. Listen/Watch ‘Guiarte a Casa’ now: SY.lnk.to/Guiarte-a-Casa Reposts ≠ endorsements,696754.0,5.0,23889.0,2007-08-29 13:07:00+00:00,https://pbs.twimg.com/profile_images/1702931319410364416/4wIMDQol_normal.jpg,,SamiYusuf,https://www.samiyusuf.art,towards The Centre,False,,English,2025-11-08T12:55:56+00:00,Sami Yusuf,active,snscrape,
Sepideh Raissadat,Persian classical vocalist and musician. PhD candidate in ethnomusicology at University of Toronto @UofTMusic سپیده رئیس سادات,1534.0,430.0,366.0,2010-07-10 12:39:10+00:00,https://pbs.twimg.com/profile_images/2249696329/sepideh-portrait_normal.jpg,,sraissadat,http://www.sepidehraissadat.com,Germany,False,,English,2025-11-08T12:55:57+00:00,Sepideh Raissadat,active,snscrape,
SHAKILA,"Billboard #1 World class Award winning Pop Culture Artist, AAA | New Age | World Fusion",55988.0,0.0,9148.0,2011-08-19 20:55:32+00:00,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,shakilamusic,http://www.shakila.com,,False,,English,2025-11-08T12:55:57+00:00,Shakila,active,snscrape,
IndyPersian_LifeStyle,در این صفحه ایندیپندنت فارسی؛ خواندنی‌هایی از بخش زندگی، مُد و زیبایی، فرهنگ و هنر، تغذیه، ورزش و علوم به اشتراک گذاشته می شود.,4638.0,11.0,18918.0,2022-03-08 17:26:31+00:00,https://pbs.twimg.com/profile_images/1521784004940378112/M3i-vUNp_normal.jpg,,IndypersianLife,,,False,,Persian (Farsi),2025-11-08T12:55:58+00:00,Shohreh (singer),active,snscrape,
Snoh,,232417.0,461.0,3468.0,2010-01-08 05:02:33+00:00,https://pbs.twimg.com/profile_images/1959385950083260416/CBsZL078_normal.jpg,,snohaalegra,,,False,,<NA>,2025-11-08T12:55:58+00:00,Snoh Aalegra,active,snscrape,
Sonita Alizada,Sonita Alizadeh's official Twitter. Afghan rapper and activist who is fighting to #endchildmarriage. #sonitasdream #raptivist,6768.0,360.0,923.0,2015-11-05 23:28:36+00:00,https://pbs.twimg.com/profile_images/1230256966649491458/L6RorSDs_normal.jpg,,SonitaAlizadeh,https://aspsdt.sphinxonline.net/surveyserver/s/regionNormandie/Inscription2021/LANGSITW.htm,Global,False,,English,2025-11-08T12:55:59+00:00,Sonita Alizadeh,active,snscrape,
Tooji,"The more real you get, the more unreal the world gets. -John Lennon",5536.0,87.0,1715.0,2011-11-26 14:26:16+00:00,https://pbs.twimg.com/profile_images/2182326642/image_normal.jpg,,Tooji_,,Oslo,False,,English,2025-11-08T12:55:59+00:00,Tooji,active,snscrape,
Hossein Dehghan,Hossein Dehghani Poudeh is a former IRGC air force officer with the rank of brigadier general and the former minister of defense of Iran.,9.0,0.0,3.0,2021-01-30 17:30:07+00:00,https://pbs.twimg.com/profile_images/1355569261662625794/7nW8p9NE_normal.jpg,,hosdehghan,http://www.HosseinDehghan.com,,False,,English,2025-11-08T12:55:59+00:00,Hossein Dehghan,active,snscrape,
Mohammad Sharif Malekzadeh | محمدشریف ملک زاده,"دکتر محمد شریف ملک زاده | گردشگری با علایق ویژه 
specialinteresttourism.ir
رییس منطقه ای  آسیا و خاورمیانه در اتحادیه بین المللی روسای دانشگاه های جهان(IAUP)",9.0,5.0,2.0,2020-07-23 13:13:14+00:00,https://pbs.twimg.com/profile_images/1286288472806957058/Gj-FWccQ_normal.jpg,,drmalekzadeh2,http://siti1.com/,Iran-Tehran-Kish,False,,Persian (Farsi),2025-11-08T12:56:00+00:00,Mohammed Sharif Malekzadeh,active,snscrape,
25Band,جان من فدای خاک پاک میهنم ✊🏻❤️,1562.0,16.0,1186.0,2011-10-12 19:05:00+00:00,https://pbs.twimg.com/profile_images/1576268303483473920/_gvhxx-U_normal.jpg,,25BandMusic,http://www.25bandmusic.com,,False,,Persian (Farsi),2025-11-08T12:56:00+00:00,25band,active,snscrape,
nguyen thanhtu,,6.0,0.0,0.0,2015-02-25 05:49:52+00:00,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,tudum,,,False,,<NA>,2025-11-08T12:56:00+00:00,3 Body Problem (TV series),active,snscrape,
عباس عبدی,"journalist, social researcher, civil activist",218737.0,477.0,5762.0,2017-08-18 10:21:29+00:00,https://pbs.twimg.com/profile_images/1404445627585531912/97ni38J7_normal.jpg,,abb_abdi,https://t.me/abdiabbas,Islamic Republic of Iran,False,,English,2025-11-08T12:56:01+00:00,Abbas Abdi,active,snscrape,
Abbas Milani,"Director, Hamid & Christina Moghadam Program in Iranian Studies, Stanford University. Research Fellow at Hoover. Opinions are my own. Telegram: t.me/MilaniAbbas",181314.0,48.0,2960.0,2017-01-27 19:40:21+00:00,https://pbs.twimg.com/profile_images/825073943916654592/GebjxH3b_normal.jpg,,milaniabbas,http://abbasmilani.stanford.edu,"Stanford, CA",False,,English,2025-11-08T12:56:01+00:00,Abbas Milani,active,snscrape,
جوادی آملی,بازنشر بیانات سایت رسمی | بدون وابستگی به دفتر,3349.0,0.0,17.0,2019-05-19 17:53:45+00:00,https://pbs.twimg.com/profile_images/1739908242338152449/NRZXL5_0_normal.jpg,,ajavadiamoli,https://javadi.esra.ir/,Islamic Republic of Iran,False,,Persian (Farsi),2025-11-08T12:56:01+00:00,Abdollah Javadi Amoli,active,snscrape,
عصر مجلس,کانال اخبار مجلس؛ عصر مجلس / بررسی تخصصی اخبار حوزه قوه مقننه و شورای شهر بدون جانبداری؛ اینجا واقعیت‌های پارلمان منعکس می‌شود,223.0,133.0,242.0,2021-11-02 18:46:42+00:00,https://pbs.twimg.com/profile_images/1455608983084048395/zgxMpSua_normal.jpg,,asre_majles,https://t.me/asre_majles,Islamic Republic of Iran,False,,Persian (Farsi),2025-11-08T12:56:01+00:00,Abdolnaser Derakhshan,active,snscrape,
Abdolnaser Hemmati عبدالناصر همتی,"Former Minister of Economic affairs and Finance of Iran. Former Governor of Central Bank of Iran. Assoc. Prof. of Economics , University of Tehran .",104719.0,7.0,645.0,2021-05-24 21:51:12+00:00,https://pbs.twimg.com/profile_images/1874307518144425984/0CS6iGjA_normal.jpg,,Hemmati_ir,,,False,,English,2025-11-08T12:56:01+00:00,Abdolnaser Hemmati,active,snscrape,
Afshin Molavi,"Senior Fellow, @FPI_SAIS; Founder, Emerging World eworld.substack.com Contributing Writer, @Forbes Tweets/Opinions My Own #EmergingMarkets #Geopolitics",7376.0,1699.0,4771.0,2011-06-21 06:15:44+00:00,https://pbs.twimg.com/profile_images/1405859945/molavi_afshin_normal.jpg,,AfshinMolavi,https://eworld.substack.com,Washington DC,False,,English,2025-11-08T12:56:02+00:00,Afshin Molavi,active,snscrape,
احمد زیدآبادی,اين صفحه توسط يكى از مخاطبان دکتر احمد زیدآبادی و مستقل از ايشان اداره مى‌شود و صرفاً ديدگاه‌ها و يادداشت‌هاى ايشان را بازنشر مى‌نمايد.,96927.0,1.0,7656.0,2021-06-11 01:22:27+00:00,https://pbs.twimg.com/profile_images/1825667437666136070/pbMHJqbQ_normal.jpg,,Zeidabadi_Ahmad,http://t.me/ahmadzeidabad,"Iran, Tehran",False,,Persian (Farsi),2025-11-08T12:56:02+00:00,Ahmad Zeidabadi,active,snscrape,
islam,"Welcome to Islam,welcome to Peace.
Retweets may not be endorsements.

Enquiries : amaanathdigital@gmail.com",125702.0,217.0,320.0,2007-06-21 10:07:28+00:00,https://pbs.twimg.com/profile_images/476341528906833922/_mS6WWO2_normal.jpeg,,islam,,,False,,English,2025-11-08T12:56:02+00:00,Ahmad ibn Muhammad Sajawandi,active,snscrape,
WORLD,Explore the world. hello@socialite.media,681055.0,8.0,8119.0,2012-01-13 00:39:34+00:00,https://pbs.twimg.com/profile_images/587949417577066499/3uCD4xxY_normal.jpg,,World,https://x.com/world,Worldwide,False,,English,2025-11-08T12:56:02+00:00,Ahoo Daryaei,active,snscrape,
شهرک اکباتان | Ekbatan,"صدای انقلابیون شهرک اکباتان

تلگرام:
T.me/ekbatan_twitter",40073.0,202.0,8528.0,2022-11-01 10:27:55+00:00,https://pbs.twimg.com/profile_images/1708837007252733952/XlUBQIji_normal.jpg,,shahrak_ekbatan,http://instagram.com/ekbatan_twitter,شهرک اکباتان,False,,Persian (Farsi),2025-11-08T12:56:02+00:00,Aida Rostami,active,snscrape,
تلویزیون منوتو,JOIN KON 👇,1208878.0,21.0,54314.0,2009-04-22 06:47:53+00:00,https://pbs.twimg.com/profile_images/1895195719041961984/zeTrCxha_normal.jpg,,manototv,https://qrcodes.pro/OliQ7w,London,False,,Swahili (macrolanguage),2025-11-08T12:56:03+00:00,Ali Akbar Velayati,active,snscrape,
Ali Khademhosseini,"Founder; Academic entrepreneur; Using AI to change the world, @MIT Ph.D.; x-Prof @Harvard/UCLA; x-CEO at TIBI; x-Scientist @Amazon",18934.0,1640.0,9367.0,2009-09-08 00:14:52+00:00,https://pbs.twimg.com/profile_images/944587768142774272/Vaq_VpHP_normal.jpg,,khademh,https://www.khademhosseini.com,"Los Angeles, CA",False,,English,2025-11-08T12:56:03+00:00,Ali Khademhosseini,active,snscrape,
,,,,,,,,alimotahari_ir,,,,,<NA>,2025-11-08T12:56:07+00:00,Ali Motahari,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
Ali Pahlavan,Singer/ Songwriter/ Music Producer/ The ARIAN BAND,18227.0,237.0,3528.0,2012-08-18 09:39:43+00:00,https://pbs.twimg.com/profile_images/881872189808558082/zCIOaNCr_normal.jpg,,PahlavanAli,http://www.alipahlavan.com,Sydney,False,,English,2025-11-08T12:56:10+00:00,Ali Pahlavan,active,snscrape,
Ali Reza Panahian,"Official Account /
Popular speaker & teacher. Expert in education & ethics. Strategist & theorist. Head of a seminary. Author of: How to Pray a Good Prayer",75317.0,0.0,1434.0,2016-04-09 10:57:25+00:00,https://pbs.twimg.com/profile_images/1916102841376108544/f2XWKvzF_normal.jpg,,PanahianEN,http://panahian.net,,False,,English,2025-11-08T12:56:10+00:00,Alireza Panahian,active,snscrape,
Alireza Talischi,فن پیج,913.0,2.0,49.0,2017-01-30 18:49:07+00:00,https://pbs.twimg.com/profile_images/867850451919753218/BgDovQIv_normal.jpg,,Alirezatalischi,,iran,False,,Urdu,2025-11-08T12:56:10+00:00,Alireza Talischi,active,snscrape,
Әлия  Назарбаева,"Әлия Нұрсұлтанқызы Назарбаева
Алия Нурсултановна Назарбаева
Aliya Nursultanovna Nazarbayeva",303.0,19.0,1.0,2012-07-21 08:59:12+00:00,https://pbs.twimg.com/profile_images/2418094985/ulll1ei9cxw2i68zz3j5_normal.jpeg,,aliyanazarbaeva,http://aliyanazarbaeva.com,Казахстан,False,,Bulgarian,2025-11-08T12:56:10+00:00,Aliya Nazarbayeva,active,snscrape,
jadi,"برنامه نویس، مدیر سیستم، آموزشگر، پادکستر، بلاگر، هکر، یوتیوبر، دوچرخه سوار و چند تا چیز دیگه. خوشحال و خندون و مثبت.
خیلی کم ممکنه دایرکت ببینم؛ فقط ایمیل (:",216392.0,1387.0,22455.0,2007-05-14 10:54:51+00:00,https://pbs.twimg.com/profile_images/1363747799586775040/7OyUMSbS_normal.jpg,,jadi,http://jadi.net,Canada,False,,Persian (Farsi),2025-11-08T12:56:11+00:00,Amir Emad Mirmirani,active,snscrape,
,,,,,,,,scientist,,,,,<NA>,2025-11-08T12:56:15+00:00,Amir Hossein Feghhi,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
Arthur Bullard,River man. IT geek for OII. Petrolhead. 🇬🇧🇩🇪🇫🇷🇮🇹🇪🇺 Email twit@photonhunter.co.uk,3464.0,245.0,1828.0,2007-01-17 12:50:02+00:00,https://pbs.twimg.com/profile_images/1745566244/art_twitter_normal.png,,art,,,False,,English,2025-11-08T12:56:17+00:00,Amir Shayesteh Tabar,active,snscrape,
Amir Taheri,"International columnist and author. Was Executive Editor-in Chief of the daily Kayhan, Iran's main newspaper for seven years. Author of 13 books.",147531.0,2318.0,66963.0,2012-06-06 16:22:05+00:00,https://pbs.twimg.com/profile_images/2789325560/dd3967f07de21e251495ac8329039097_normal.jpeg,,AmirTaheri4,,"Paris, France",False,,English,2025-11-08T12:56:18+00:00,Amir Taheri,active,snscrape,
Amir Tataloo,"The Official Twitter Account Of Amir Tataloo
Artist | Rapper | Singer | Musician",38314.0,0.0,1074.0,2013-01-18 15:07:43+00:00,https://pbs.twimg.com/profile_images/1569000203964792832/M9EI88T2_normal.jpg,,tatalioo,https://amirtataloo.me,"İstanbul, Türkiye",False,,English,2025-11-08T12:56:18+00:00,Amir Tataloo,active,snscrape,
enちゃん,2文字アカウントです,2959.0,4084.0,97433.0,2007-05-10 06:41:03+00:00,https://pbs.twimg.com/profile_images/998001343066353665/GVIZUPsG_normal.jpg,,en,http://twilog.org/en/stats,,False,True,Japanese,2025-11-08T12:56:18+00:00,Amir-Abbas Hoveyda,active,snscrape,
La Toya Jackson,"Grammy Award-Winning Songwriter, 2X New York Times Best-Selling Author, EP of DANCING IN JAFFA. IG latoyajackson",357240.0,367.0,11070.0,2010-06-18 01:15:39+00:00,https://pbs.twimg.com/profile_images/3456257290/c982f8b0af43489942bb93691ce18fb0_normal.jpeg,,latoyajackson,,Beverly Hills,False,,English,2025-11-08T12:56:18+00:00,Andy (singer),active,snscrape,
Anousheh Ansari,"Imagine. Be the change. Inspire. I'm Curious George as the science officer aboard starship Enterprise, going where no one has gone before.",42282.0,424.0,15790.0,2010-01-13 15:35:58+00:00,https://pbs.twimg.com/profile_images/1163828390/Tony_rescan_3__normal.jpg,,AnoushehAnsari,http://www.xprize.org,Somewhere in the Universe,False,,English,2025-11-08T12:56:18+00:00,Anousheh Ansari,active,snscrape,
Arash Markazi,"Founder & CEO: The Sporting Tribune

Host: KIRN 670, The Bet Las Vegas & Hawaii Sports Radio

Prior: ESPN, SI & LA Times

arash.markazi@thesportingtribune.com",123648.0,2553.0,111960.0,2008-11-25 11:07:57+00:00,https://pbs.twimg.com/profile_images/1525284632349921281/Akpsupgx_normal.jpg,,ArashMarkazi,https://thesportingtribune.com/,Los Angeles-Las Vegas-Hawaii ,False,,English,2025-11-08T12:56:18+00:00,Arash Markazi,active,snscrape,
Arash Sobhani آرش سبحانی,instagram.com/arashsobhani retweet≠endorsement,149359.0,2439.0,12041.0,2011-12-08 19:40:02+00:00,https://pbs.twimg.com/profile_images/1966511701227864064/5fqNP843_normal.jpg,,arash_sobhani,http://www.kiosktheband.com,#,False,,English,2025-11-08T12:56:19+00:00,Arash Sobhani,active,snscrape,
Ardeshir Pashang,"PhD in International Relations
Researcher (IR & Middle East & Kurdish Studies)
Freelance Journalist
Chief Editor of Faratab (News Agency)",3767.0,399.0,6314.0,2014-08-06 14:03:28+00:00,https://pbs.twimg.com/profile_images/1968267054093344768/oDV_6ty1_normal.jpg,,ardeshirpashang,http://www.Faratab.com,Tehran Iran,False,,English,2025-11-08T12:56:19+00:00,Ardeshir Pashang,active,snscrape,
,,,,,,,,2023,,,,,<NA>,2025-11-08T12:56:19+00:00,Arian Moayed,suspended,csv_status_only,status_from_manual_csv:suspended
Ash Koosha,CEO @claigrid,3234.0,740.0,1571.0,2014-12-22 11:02:24+00:00,https://pbs.twimg.com/profile_images/1834492333041364992/1LW3V1cK_normal.jpg,,AshKoosha,http://claigrid.com,London/SF,False,,Welsh,2025-11-08T12:56:19+00:00,Ashkan Kooshanejad,active,snscrape,
ТГМУ имени Абуали ибни Сино,Официальная страница ТГМУ имени Абуали ибни Сино,62.0,1.0,151.0,2018-04-12 05:17:15+00:00,https://pbs.twimg.com/profile_images/984300454086668289/taG5_dh8_normal.jpg,,tajmedun,http://www.tajmedun.tj,Tajikistan,False,,Russian,2025-11-08T12:56:19+00:00,Avicenna Tajik State Medical University,active,snscrape,
Azadeh Ensha,,615.0,25.0,6.0,2008-03-21 02:19:15+00:00,https://pbs.twimg.com/profile_images/3390798393/cc2958770059edb2a78e32daefc38328_normal.png,,AzadehEnsha,,"Brooklyn, New York ",False,,<NA>,2025-11-08T12:56:19+00:00,Azadeh Ensha,active,snscrape,
Azar Nafisi,"Author of the national bestseller Reading Lolita in Tehran, Things I’ve Been Silent about, The Republic of Imagination, That Other World, and Read Dangerously.",14303.0,1332.0,11386.0,2009-06-22 05:10:03+00:00,https://pbs.twimg.com/profile_images/484089365736341504/wdqFAP2F_normal.jpeg,,azarnafisi,http://www.azarnafisi.com,DC/Republic of Imagination,False,,English,2025-11-08T12:56:19+00:00,Azar Nafisi,active,snscrape,
Baba Ali,IG @realbabaali,49875.0,25.0,1096.0,2008-02-15 04:54:23+00:00,https://pbs.twimg.com/profile_images/248636495/ba_1_normal.jpg,,ummahfilms,http://www.babaali.com,Los Angeles,False,,Somali,2025-11-08T12:56:19+00:00,Baba Ali,active,snscrape,
Babak Tafreshi,"@natgeo photographer from Earth to the universe, science journalist, founder of The World at Night (TWAN), saving our night skies, bridging art & science.",10272.0,284.0,1282.0,2014-01-13 20:13:12+00:00,https://pbs.twimg.com/profile_images/993186674761961472/2bpJvSco_normal.jpg,,BabakTafreshi,http://babaktafreshi.com,"Boston, MA",False,,English,2025-11-08T12:56:20+00:00,Babak Amin Tafreshi,active,snscrape,
Babak Hodjat,Working on Evolutionary AI,661.0,71.0,474.0,2009-03-08 00:50:08+00:00,https://pbs.twimg.com/profile_images/682251511603171329/-zKyzdLD_normal.jpg,,babakatwork,http://www.cognizant.com,,False,,English,2025-11-08T12:56:20+00:00,Babak Hodjat,active,snscrape,
Armin Ghobadi Pasha,Multimedia Journalist | Filmmaker Former Producer and Host of The Chand Chand show on Iran international TV,23179.0,725.0,3252.0,2013-07-10 09:48:25+00:00,https://pbs.twimg.com/profile_images/1330971076361334784/PqAlbYF6_normal.jpg,,ArminGhobadi,https://youtu.be/sfa4_-tqwZE?si=Dzw_FUYCcbTcW16I,London,False,,English,2025-11-08T12:56:20+00:00,Bahman Ghobadi,active,snscrape,
Bahram,@peeleh,242519.0,42.0,913.0,2012-10-08 12:38:39+00:00,https://pbs.twimg.com/profile_images/1976936544150700032/03mFQLM7_normal.jpg,,BahramNouraei,https://bahramnouraei.com,,False,,Estonian,2025-11-08T12:56:20+00:00,Bahram Nouraei,active,snscrape,
ایران وایر,"گزارش‌های خبری، با کمک شهروند خبرنگاران ایرانی
عكس، خبر و فيلم هاى خود را براى ما بفرستيد: t.me/shomaIranwire
کانال واتساپ: iranwire.org/skoqp",136583.0,151.0,98298.0,2013-04-25 08:24:23+00:00,https://pbs.twimg.com/profile_images/1506334088000548864/hMcVWYaD_normal.jpg,,iranwire,http://www.iranwire.com,,False,,Persian (Farsi),2025-11-08T12:56:22+00:00,Baraye,active,snscrape,
Behdad Esfahbod,"Software Engineer consultant specializing on fonts and text.

@HarfBuzz. Ex Facebook/Google/RedHat/FarsiWeb.

#WomenLifeFreedom

🌈",8891.0,3189.0,7148.0,2008-07-12 08:54:39+00:00,https://pbs.twimg.com/profile_images/1467332785052524549/yBJalOk3_normal.jpg,,behdadesfahbod,https://behdad.org/,"Edmonton, Canada",False,,English,2025-11-08T12:56:22+00:00,Behdad Esfahbod,active,snscrape,
,,,,,,,,2012,,,,,<NA>,2025-11-08T12:56:22+00:00,Behdad Sami,suspended,csv_status_only,status_from_manual_csv:suspended
Behrouz Boochani,Writer/ Kurd,78799.0,2703.0,5555.0,2017-01-01 16:12:48+00:00,https://pbs.twimg.com/profile_images/1633773675408392192/YTm7xpGS_normal.jpg,,BehrouzBoochani,,"Aotearoa, Wellington",False,,German,2025-11-08T12:56:22+00:00,Behrouz Boochani,active,snscrape,
behzadbolour,"I am now 47 but feel like 48 & look 36. my life = my work. wear hat cause I'm bold. eat less than before. poet says: sworn to fun, Loyal to none! ارواح خیکم!",10788.0,31.0,58.0,2007-07-27 13:24:26+00:00,https://pbs.twimg.com/profile_images/2462143385/ny7frnxjfhbwy3vrzux4_normal.jpeg,,behzadbolour,http://www.behzadbolour.com,,False,,English,2025-11-08T12:56:22+00:00,Behzad Bolour,active,snscrape,
بیژن نوباوه وطن,روزنامه نگار، خبرنگار، نماینده مردم ایران از حوزه انتخابیه تهران، ری،  شمیرانات، اسلامشهر و پردیس در مجالس  هشتم، نهم ، يازدهم و دوازدهم,343.0,135.0,12.0,2024-06-04 18:38:15+00:00,https://pbs.twimg.com/profile_images/1798063470837178368/SV657Yjc_normal.jpg,,nobave34909,,,False,,Persian (Farsi),2025-11-08T12:56:23+00:00,Bijan Nobaveh-Vatan,active,snscrape,
Borzou Daragahi 🖊🗒,Media professional. Longtime international journalist. DMs open.,82255.0,1922.0,58203.0,2009-03-14 15:27:33+00:00,https://pbs.twimg.com/profile_images/1640676303912292353/x-TxXSXl_normal.jpg,,borzou,https://linktr.ee/borzou,Agrabah,False,,English,2025-11-08T12:56:23+00:00,Borzou Daragahi,active,snscrape,
,,,,,,,,the,,,,,<NA>,2025-11-08T12:56:27+00:00,Brandon Truaxe,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
CameliaEntekhabifard,Independent Persian Editor in Chief. Author;  “Save Yourself By Telling The Truth”  کاملیا انتخابی فرد نویسنده و سردبیر ایندیپندنت فارسی,56596.0,1948.0,156694.0,2010-05-02 22:21:48+00:00,https://pbs.twimg.com/profile_images/1891921534639325184/A3mfhzvE_normal.jpg,,CameliaFard,http://www.IndependentPersian.com,New York I Dubai ,False,,English,2025-11-08T12:56:29+00:00,Camelia Entekhabifard,active,snscrape,
Chahla Chafiq,"Écrivaine, sociologue",1868.0,829.0,1271.0,2014-02-08 12:05:42+00:00,https://pbs.twimg.com/profile_images/432124982043230208/_bJb-gPU_normal.jpeg,,ChahlaCHAFIQ,http://www.chahlachafiq.com,,False,,French,2025-11-08T12:56:42+00:00,Chahla Chafiq,active,snscrape,
Dan Ahdoot,"Comic/Writer/Actor/HyphenFan. Anoush from Cobra Kai, Amir from The Crew, also Amir from Bajillion, Phil from Kickin It, host of ‘Green Eggs & Dan’",20496.0,567.0,6476.0,2008-03-17 03:54:28+00:00,https://pbs.twimg.com/profile_images/1070241654970376192/5jGpmHO0_normal.jpg,,standupdan,http://standupdan.komi.io,,False,,English,2025-11-08T12:56:43+00:00,Dan Ahdoot,active,snscrape,
Davar Ardalan,,5909.0,0.0,13612.0,2010-01-02 23:04:39+00:00,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,idavar,,,False,True,<NA>,2025-11-08T12:56:43+00:00,Davar Ardalan,active,snscrape,
Dr. David Samadi,"Tweets represent my own views. Follow my Instagram @DrDavidSamadi. #RoboticSurgery. Expert in #prostate ProstateCancer911.com, roboticoncology.com",355321.0,3909.0,18393.0,2009-03-22 13:19:49+00:00,https://pbs.twimg.com/profile_images/1345004936078258176/W5u79dDu_normal.jpg,,drdavidsamadi,http://davidsamadi.com,"Manhattan, New York",False,,English,2025-11-08T12:56:43+00:00,David B. Samadi,active,snscrape,
ديالا مكي,,11587.0,737.0,4088.0,2011-02-03 08:20:43+00:00,https://pbs.twimg.com/profile_images/1305225204948500483/HKULzAZY_normal.jpg,,dialamakki,,Kingdom of Saudi Arabia,False,,<NA>,2025-11-08T12:56:43+00:00,Diala Makki,active,snscrape,
Dina Nayeri,"Who Gets Believed (2023), The Ungrateful Refugee, ✏️ for NYT, Guardian, NYer, NYMag, Granta, etc. wandering iranian, scribbler, reader, mom, university lecturer",5401.0,991.0,5276.0,2014-01-21 17:09:45+00:00,https://pbs.twimg.com/profile_images/1141308027162759168/w1RJW6G8_normal.png,,DinaNayeri,http://www.dinanayeri.com,London,False,,English,2025-11-08T12:56:43+00:00,Dina Nayeri,active,snscrape,
asa,"Just some guy in Seattle. If you're looking for the singer, she's @Asa_Official.",3858.0,318.0,5114.0,2006-07-03 03:23:47+00:00,https://pbs.twimg.com/profile_images/53114868/IMAGE_311_normal.jpg,,asa,,Seattle,False,,English,2025-11-08T12:56:43+00:00,Doreen Granpeesheh,active,snscrape,
